ai_strategy,game_number,turns_to_win
RandomAI,561,86
RandomAI,562,95
RandomAI,563,90
RandomAI,564,93
RandomAI,565,98
RandomAI,566,99
RandomAI,567,91
RandomAI,568,100
RandomAI,569,86
RandomAI,570,98
RandomAI,571,96
RandomAI,572,98
RandomAI,573,93
RandomAI,574,95
RandomAI,575,96
RandomAI,576,80
RandomAI,577,90
RandomAI,578,96
RandomAI,579,98
RandomAI,580,98
RandomAI,581,84
RandomAI,582,99
RandomAI,583,97
RandomAI,584,97
RandomAI,585,99
RandomAI,586,92
RandomAI,587,91
RandomAI,588,94
RandomAI,589,96
RandomAI,590,99
RandomAI,591,94
RandomAI,592,85
RandomAI,593,100
RandomAI,594,97
RandomAI,595,94
RandomAI,596,98
RandomAI,597,98
RandomAI,598,95
RandomAI,599,93
RandomAI,600,89
RandomAI,601,98
RandomAI,602,100
RandomAI,603,96
RandomAI,604,100
RandomAI,605,98
RandomAI,606,99
RandomAI,607,99
RandomAI,608,100
RandomAI,609,85
RandomAI,610,98
RandomAI,611,90
RandomAI,612,94
RandomAI,613,96
RandomAI,614,100
RandomAI,615,98
RandomAI,616,95
RandomAI,617,92
RandomAI,618,95
RandomAI,619,96
RandomAI,620,98
RandomAI,621,96
RandomAI,622,97
RandomAI,623,100
RandomAI,624,97
RandomAI,625,92
RandomAI,626,85
RandomAI,627,91
RandomAI,628,86
RandomAI,629,99
RandomAI,630,99
RandomAI,631,97
RandomAI,632,97
RandomAI,633,99
RandomAI,634,100
RandomAI,635,97
RandomAI,636,96
RandomAI,637,90
RandomAI,638,92
RandomAI,639,99
RandomAI,640,87
RandomAI,641,100
RandomAI,642,96
RandomAI,643,98
RandomAI,644,99
RandomAI,645,98
RandomAI,646,100
RandomAI,647,97
RandomAI,648,90
RandomAI,649,87
RandomAI,650,92
RandomAI,651,99
RandomAI,652,100
RandomAI,653,98
RandomAI,654,97
RandomAI,655,89
RandomAI,656,92
RandomAI,657,97
RandomAI,658,98
RandomAI,659,94
RandomAI,660,89
RandomAI,661,97
RandomAI,662,97
RandomAI,663,97
RandomAI,664,99
RandomAI,665,100
RandomAI,666,93
RandomAI,667,99
RandomAI,668,100
RandomAI,669,96
RandomAI,670,96
RandomAI,671,97
RandomAI,672,87
RandomAI,673,93
RandomAI,674,100
RandomAI,675,95
RandomAI,676,97
RandomAI,677,96
RandomAI,678,100
RandomAI,679,97
RandomAI,680,96
RandomAI,681,94
RandomAI,682,98
RandomAI,683,94
RandomAI,684,99
RandomAI,685,95
RandomAI,686,94
RandomAI,687,97
RandomAI,688,97
RandomAI,689,95
RandomAI,690,87
RandomAI,691,95
RandomAI,692,99
RandomAI,693,90
RandomAI,694,100
RandomAI,695,92
RandomAI,696,97
RandomAI,697,100
RandomAI,698,99
RandomAI,699,100
RandomAI,700,99
RandomAI,701,91
RandomAI,702,97
RandomAI,703,99
RandomAI,704,100
RandomAI,705,93
RandomAI,706,91
RandomAI,707,98
RandomAI,708,94
RandomAI,709,98
RandomAI,710,99
RandomAI,711,98
RandomAI,712,93
RandomAI,713,100
RandomAI,714,95
RandomAI,715,92
RandomAI,716,97
RandomAI,717,99
RandomAI,718,97
RandomAI,719,89
RandomAI,720,100
RandomAI,721,100
RandomAI,722,93
RandomAI,723,99
RandomAI,724,74
RandomAI,725,99
RandomAI,726,100
RandomAI,727,95
RandomAI,728,95
RandomAI,729,99
RandomAI,730,99
RandomAI,731,97
RandomAI,732,94
RandomAI,733,100
RandomAI,734,95
RandomAI,735,91
RandomAI,736,97
RandomAI,737,100
RandomAI,738,100
RandomAI,739,97
RandomAI,740,97
RandomAI,741,100
RandomAI,742,91
RandomAI,743,98
RandomAI,744,93
RandomAI,745,100
RandomAI,746,98
RandomAI,747,96
RandomAI,748,100
RandomAI,749,99
RandomAI,750,90
RandomAI,751,99
RandomAI,752,99
RandomAI,753,97
RandomAI,754,98
RandomAI,755,89
RandomAI,756,92
RandomAI,757,97
RandomAI,758,97
RandomAI,759,90
RandomAI,760,94
RandomAI,761,80
RandomAI,762,99
RandomAI,763,98
RandomAI,764,91
RandomAI,765,87
RandomAI,766,92
RandomAI,767,99
RandomAI,768,97
RandomAI,769,97
RandomAI,770,100
RandomAI,771,91
RandomAI,772,97
RandomAI,773,93
RandomAI,774,97
RandomAI,775,82
RandomAI,776,98
RandomAI,777,95
RandomAI,778,94
RandomAI,779,96
RandomAI,780,100
RandomAI,781,100
RandomAI,782,98
RandomAI,783,96
RandomAI,784,100
RandomAI,785,88
RandomAI,786,99
RandomAI,787,89
RandomAI,788,99
RandomAI,789,98
RandomAI,790,98
RandomAI,791,92
RandomAI,792,97
RandomAI,793,99
RandomAI,794,100
RandomAI,795,99
RandomAI,796,100
RandomAI,797,92
RandomAI,798,86
RandomAI,799,99
RandomAI,800,100
RandomAI,801,99
RandomAI,802,98
RandomAI,803,95
RandomAI,804,93
RandomAI,805,100
RandomAI,806,97
RandomAI,807,94
RandomAI,808,98
RandomAI,809,97
RandomAI,810,90
RandomAI,811,99
RandomAI,812,85
RandomAI,813,97
RandomAI,814,94
RandomAI,815,97
RandomAI,816,99
RandomAI,817,99
RandomAI,818,99
RandomAI,819,97
RandomAI,820,96
RandomAI,821,86
RandomAI,822,96
RandomAI,823,100
RandomAI,824,98
RandomAI,825,95
RandomAI,826,96
RandomAI,827,93
RandomAI,828,98
RandomAI,829,92
RandomAI,830,94
RandomAI,831,90
RandomAI,832,94
RandomAI,833,88
RandomAI,834,96
RandomAI,835,100
RandomAI,836,100
RandomAI,837,100
RandomAI,838,92
RandomAI,839,94
RandomAI,840,98
RandomAI,841,94
RandomAI,842,99
RandomAI,843,100
RandomAI,844,98
RandomAI,845,95
RandomAI,846,100
RandomAI,847,99
RandomAI,848,97
RandomAI,849,91
RandomAI,850,100
RandomAI,851,95
RandomAI,852,94
RandomAI,853,98
RandomAI,854,99
RandomAI,855,94
RandomAI,856,94
RandomAI,857,90
RandomAI,858,98
RandomAI,859,97
RandomAI,860,100
RandomAI,861,100
RandomAI,862,84
RandomAI,863,88
RandomAI,864,99
RandomAI,865,97
RandomAI,866,98
RandomAI,867,94
RandomAI,868,91
RandomAI,869,100
RandomAI,870,96
RandomAI,871,99
RandomAI,872,97
RandomAI,873,97
RandomAI,874,99
RandomAI,875,95
RandomAI,876,95
RandomAI,877,94
